,State,County,Number of Farms,Land in Farms,Average Size of Farms,Farm Size 1-9 acres,Farm Size 10-49 acres,Farm Size 50-179 acres,Farm Size 180-499,Farm Size 500-999,Farm Size 1000+,Pastureland,Broilers and other meat-type chickens,Cattle and calves,Hogs and pigs,Sheep and lambs,Pastureland Acres,Chicken CH4 per Acre (Kg/Year),Cow CH4 per Acre (Kg/Year),Sheep CH4 per Acre (Kg/Year),Pig CH4 per Acre (Kg/Year),Chicken CO2 per Acre (Kg/Year),Cow CO2 per Acre (Kg/Year),Sheep CO2 per Acre (Kg/Year),Pig CO2 per Acre (Kg/Year),Chicken N2O per Acre (Kg/Year),Cow N2O per Acre (Kg/Year),Sheep N2O per Acre (Kg/Year),Pig N2O per Acre (Kg/Year)
408,Illinois,Bureau County,1038,437055,421,108,192,259,205,131,143,1,600,9996,63711,1203,4370.55,0.013728249305007378,158.95528022788892,0.13762569928269897,174.92809829426503,1.3277962727803136,46657.37721797028,165.15083913923877,9285.766551120569,0.002004324398531077,400.70453375433294,16.074681676219242,4416.205614853965
409,Alabama,St. Clair County,490,58975,120,61,145,188,81,10,5,36,2766706,11471,383,156,21231.0,13.031444585747257,37.55049220479488,0.0036738731100748904,0.21647590787056661,1260.4013203334746,11022.014978098065,4.408647732089869,11.491262776129243,1.9025909095190998,94.65965804719514,0.4291083792567472,5.465114690782346
410,Tennessee,Weakley County,788,217130,276,48,305,266,83,36,50,6,1470907,14017,66726,1015,13027.8,11.290524877569506,74.77713044412718,0.038955157432567285,61.46179708009027,1092.0195661585226,21948.97066273661,46.74618891908074,3262.597061668125,1.6484166321251479,188.50292451526735,4.549962388123858,1551.6542854511122
411,Connecticut,Litchfield County,1217,90322,74,342,482,259,108,18,8,10,7221,10476,879,1760,9032.2,0.0799472996612121,80.60959677597927,0.09742919775912845,1.1678217931400987,7.732502823232434,23660.946391798232,116.91503731095413,61.9918735191869,0.011672305750536969,203.20577489426717,11.379730298266203,29.482634352649406
412,Georgia,Charlton County,120,20710,173,10,51,36,15,2,6,12,62,1889,260,21,2485.2,0.002494769032673427,52.826935457910835,0.004225012071463061,1.2554321583775954,0.24129406084017385,15506.035731530663,5.070014485755674,66.64252374054402,0.00036423627877032035,133.16948334138098,0.49348140994688555,31.694431031707712
414,Connecticut,New London County,823,60122,73,196,323,232,54,13,5,11,9178,12497,1025,989,6613.42,0.1387784232666306,131.33015897977143,0.07477220560617653,1.8598546591627327,13.422649098348511,38548.7085350696,89.72664672741183,98.7272848238884,0.02026164979692807,331.0653791835389,8.73339361480142,46.95358074944583
420,Pennsylvania,Crawford County,1091,194447,178,121,281,409,195,62,23,8,1826,32216,1317,2902,15555.76,0.011738417152231714,143.93459400247883,0.09327734549774488,1.0159580759795728,1.1353397069638513,42248.4275920945,111.93281459729386,53.930441199915656,0.0017138089042258303,362.8394369673999,10.894793954136603,25.648708259834297
421,Tennessee,Putnam County,1003,109947,110,113,397,341,119,19,14,30,167,22683,444,806,32984.1,0.0005063045527996823,47.79480113145425,0.012218008070555208,0.1615323746896232,0.048969776346785274,14028.977598297362,14.66160968466625,8.574676889774164,7.392046470875363e-05,120.48416055008323,1.4270633426408483,4.0780194093517785
422,Tennessee,Sevier County,547,49632,91,55,185,230,71,6,0,33,68,11105,27,388,16378.56,0.00041517691420979626,47.122427124240474,0.011844753140691245,0.019781958853525586,0.040155911142371485,13831.618896899361,14.213703768829495,1.0500923158079831,6.061582947463026e-05,118.78919758513568,1.3834671668327376,0.49941203622296465
424,Pennsylvania,Armstrong County,668,126655,190,26,164,280,146,24,28,11,1141,16389,390,546,13932.05,0.008189749534347064,81.75648953312685,0.019595106247824262,0.3359161071055588,0.792112574962048,23997.588294615653,23.514127497389115,17.831546685520077,0.0011957034320146714,206.09693476552266,2.288708409745874,8.480482053969085
425,Pennsylvania,Berks County,1809,224722,124,291,596,534,309,63,16,7,2742038,85593,78195,3292,15730.54,17.431302421913042,378.16333705009487,0.10463722160841267,59.650844789816496,1685.9555702474295,111000.46152261778,125.5646659300952,3166.4656775927588,2.544970153599304,953.2980813118938,12.221627483862601,1505.9352857562421
428,Colorado,Park County,278,189110,680,18,66,79,59,16,40,86,48,7574,20,72,162634.6,2.951401485292798e-05,3.2366605875994408,0.0002213551113969598,0.0014757007426463987,0.0028545955165751938,950.041381108325,0.26562613367635174,0.07833511442214633,4.309046168527485e-06,8.159178920106791,0.025854277011164908,0.0372552949987272
430,Tennessee,Cumberland County,886,129229,146,118,311,304,99,40,14,27,310,22767,1493,1372,34891.83,0.0008884601352236325,45.34891119210428,0.019660762992368127,0.5134726381505355,0.08593186427882975,13311.0473139414,23.592915590841752,27.256839208490923,0.00012971517974265037,114.31840634326144,2.296377117508597,12.963044643975392
431,Tennessee,Cheatham County,543,67289,124,66,197,199,47,24,10,18,416,6901,257,92,12112.02,0.003434604632422998,39.59863837741351,0.003797880122390815,0.25462309342289724,0.33219496004795235,11623.197451787562,4.557456146868978,13.51624254253213,0.0005014522763337577,99.82275458594025,0.4435923982952472,6.428172179372226
433,California,Napa County,1866,255778,137,843,555,256,103,57,52,34,130,7806,99,1010,86964.52,0.00014948625025470156,6.238371694571533,0.005806965875278791,0.013660743484814266,0.014458310124634735,1831.119173658407,6.96835905033455,0.7251577999855572,2.1824992537186432e-05,15.72608231494867,0.6782536142325628,0.34487685322704015
434,Tennessee,Blount County,1073,94577,88,160,491,297,96,17,12,36,656,26278,153,446,34047.72,0.0019267075739579627,53.64003815820853,0.006549630929765635,0.053924315636994194,0.18635115655321413,15744.701847877039,7.859557115718761,2.8624824217304417,0.00028129930579786256,135.2192041052969,0.7649968925966262,1.3613642851856158
435,California,Marin County,343,140075,408,81,73,61,48,32,48,74,1312,36013,409,12469,103655.5,0.0012657311961256279,24.146364640564176,0.060146350169552026,0.047349151757504426,0.12242152128927071,7087.566023992938,72.17562020346243,2.513450805794193,0.00018479675463434165,60.86968467664523,7.025093699803676,1.1953687937446638
436,Idaho,Washington County,535,468433,876,105,161,91,71,27,80,78,1625,31305,50,7452,365377.74,0.000444745210805672,5.954652574073068,0.010197665572073439,0.0016421361629747888,0.043015756789124594,1747.840467785476,12.237198686488126,0.08717006131791169,6.493280077762811e-05,15.010865193922323,1.1910873388181775,0.041457095881101025
438,California,Nevada County,673,52061,77,295,253,74,34,11,6,60,788,4108,513,1869,31236.6,0.0025226817259240766,9.140111279716743,0.029916828335990475,0.19707650640594687,0.2439937765313767,2682.8528072837635,35.90019400318857,10.46147788171568,0.0003683115319849151,23.040971168437025,3.4942855496436875,4.975360634640134
440,Tennessee,Davidson County,414,34447,83,76,159,125,48,5,1,29,1512,4986,125,62,9989.63,0.01513569571645797,34.68867215302269,0.0031032180371044775,0.1501557114727973,1.4639244896958148,10181.998732685795,3.723861644525373,7.9707656840143235,0.0022098115746028634,87.44540088071331,0.362455866733803,3.7908060658903286
442,Tennessee,Chester County,380,79970,210,10,100,179,59,16,16,17,80,5940,70,82,13594.9,0.0005884559651045613,30.366534509264504,0.0030158368211608767,0.06178787633597894,0.05691546094491317,8913.34250343879,3.619004185393052,3.2799064355015486,8.591457090526596e-05,76.54988267659195,0.3522497407115904,1.5598864279987346
443,Illinois,Williamson County,610,103865,170,34,245,216,61,26,28,11,81,7861,50,103,11425.15,0.0007089622455722682,47.81902206973213,0.004507599462589113,0.05251572189424209,0.0685708283917498,14036.087053561661,5.409119355106935,2.787709570552684,0.00010350848785355118,120.54521822470602,0.5264876172304084,1.3258031623217201
444,Alabama,Madison County,1021,184926,181,185,391,269,95,36,45,13,1572,15913,319,392,24040.38,0.006538998135636792,46.00399411323781,0.008152949329419918,0.15923209200520125,0.6324518996787905,13503.33064618779,9.7835391953039,8.452570217276099,0.0009546937278029716,115.96978084373042,0.9522644816762463,4.019946856081309
445,Colorado,Montrose County,1135,330523,291,218,416,275,129,28,69,65,52,53051,1331,13086,214839.95,2.420406446752571e-05,17.161819763968477,0.030455229579042443,0.07434371493756166,0.0023410171152990866,5037.426232877078,36.54627549485093,3.946412201268898,3.533793412258754e-06,43.262601764709025,3.5571708148321575,1.8768690366945253
447,Pennsylvania,Beaver County,613,53832,88,94,193,251,64,10,1,15,534,6978,1182,1044,8074.8,0.006613166889582405,60.059815722990045,0.06464556397681676,1.7565760142666071,0.6396255015604101,17629.06821221578,77.57467677218011,93.2449100906524,0.0009655223658790311,151.40258582255908,7.550601872492198,44.34622529350572
449,Tennessee,Rhea County,498,46012,92,42,209,181,55,9,2,32,328,9418,613,165,14723.84,0.0022276797357211166,44.45518288707294,0.005603157871859515,0.49959793097452837,0.21546118403894637,13048.715552464575,6.723789446231418,26.520323502564548,0.000325241241415283,112.0654394505781,0.6544488394331913,12.612766099061112
450,Tennessee,Shelby County,399,75404,189,67,165,96,44,11,16,8,142,2944,49,184,6032.32,0.002353986525913745,33.91862500663095,0.015251180308736938,0.09747493501671,0.22767757678637743,9955.970505543473,18.301416370484326,5.174294467137021,0.00034368203278340673,85.50421728290277,1.7813378600604743,2.460835963609357
452,Oregon,Linn County,2222,314947,142,748,835,368,148,55,68,12,1191697,24282,370,46064,37793.64,3.153168099182826,44.65298923310906,0.6094147057547249,0.11748008395063296,304.9744185529629,13106.77669576151,731.2976469056698,6.2362344563794325,0.4603625424806925,112.56408221065766,71.17963763215187,2.9658826194036876
455,Oregon,Tillamook County,293,32936,112,74,76,84,48,9,2,34,112,44364,82,366,11198.24,0.0010001571675549016,275.337731643544,0.016341853719870264,0.08787095114946634,0.09673520124591009,80818.55720184601,19.610224463844318,4.664482990184172,0.00014602294646301565,694.0887853805597,1.9087285144808472,2.2183753875609025
457,Connecticut,Tolland County,520,35647,69,155,212,121,22,6,4,9,916,9431,255,839,3208.23,0.028551568933648776,204.30408667707738,0.13075745816228887,0.9537969534603192,2.761507747262509,59968.39378722847,156.90894979474663,50.63072161285194,0.004168529064312721,515.022676055021,15.27247111335534,24.079398920900307
461,Illinois,Boone County,457,113500,248,100,149,66,73,44,25,3,296,7040,6025,467,3405.0,0.008693098384728341,143.69456681350954,0.06857562408223201,21.233480176211454,0.8407964757709252,42177.97356828194,82.29074889867842,1127.1439060205578,0.0012691923641703381,362.2343612334802,8.0096328928047,536.0569016152716
462,Alabama,Morgan County,1164,134864,116,154,447,381,134,35,13,35,4010832,29688,705,948,47202.4,8.497093368133823,43.71209938477704,0.010041862278189245,0.1792281748385675,821.8388705659034,12830.60183380506,12.050234733827093,9.514028947680625,1.2405756317475383,110.19222751385522,1.1728895140925037,4.524764630612003
463,Alabama,Shelby County,447,67214,150,46,180,117,74,22,8,29,84,9198,304,116,19492.06,0.0004309447026122431,32.79596923054823,0.002975570565655964,0.18715312799160272,0.041680971636656156,9626.442766952287,3.570684678787157,9.934711877554244,6.29179265813875e-05,82.67415552794317,0.34754664206861663,4.724836677088004
469,California,Solano County,849,342593,404,247,307,142,55,29,69,48,3800,38735,222,42991,164444.64,0.002310808062822844,16.370752491537576,0.1307157229326538,0.016199980735158045,0.22350135583622546,4805.2280694585115,156.85886751918457,0.8599489773579728,0.0003373779771721353,41.26842930240839,15.267596438533966,0.40898201364301073
471,Illinois,Shelby County,1197,362400,303,116,326,337,196,130,92,3,34,21335,127723,519,10872.0,0.00031272994849153795,136.38543966151582,0.023868653421633555,140.9746136865342,0.03024724061810154,40032.56070640177,28.642384105960264,7483.402409860191,4.565857247976454e-05,343.8090507726269,2.7878587196467994,3559.0216013612953
473,Alabama,Lauderdale County,1309,210539,161,148,482,467,135,33,44,24,915548,30324,544,1034,50529.36,1.8119129155801696,41.70878079595704,0.01023167520823537,0.1291922161689758,175.24821719491402,12242.577384712571,12.278010249882444,6.8579534749698,0.2645392856747048,105.14213518635502,1.1950596643218911,3.261565157365935
475,Illinois,Sangamon County,1083,531290,491,185,317,207,123,110,141,3,225,14436,45507,353,15938.7,0.001411658416307478,62.947542773250014,0.011073676021256439,34.26151442714902,0.13653560202525925,18476.688814018707,13.288411225507726,1818.7153908411601,0.00020610212878089182,158.68215099098418,1.2934053592827521,864.9604829753994
477,Georgia,Warren County,135,38116,282,0,26,59,35,9,6,20,32,5231,36,170,7623.2,0.00041977122468254806,47.69053678245356,0.011150173155630182,0.056669115332143985,0.04060027285129605,13998.373386504356,13.380207786756218,3.00818553888131,6.128659880365202e-05,120.22132437821388,1.3023402245776052,1.4306590408227515
478,Oklahoma,Canadian County,1324,498316,376,185,316,354,220,91,158,43,212,101472,2745,623,214275.88,9.893787392216054e-05,32.91226245343153,0.001453733383337406,0.15372705504697962,0.009569271165751366,9660.577756115154,1.744480060004887,8.160344505410501,1.444492959263544e-05,82.96731484663601,0.16979605917380902,3.8809676105402064
480,Florida,Columbia County,979,107074,109,112,538,183,105,24,17,36,5390,26010,245,707,38546.64,0.013983060520968883,46.89630535891066,0.009170708523492579,0.07627123920528482,1.3524416135881105,13765.246465061546,11.004850228191096,4.048731614480536,0.002041526836061457,118.21917552346976,1.0711387555439333,1.9255309931034197
483,Georgia,Forsyth County,291,18024,62,57,127,78,29,0,0,42,2228879,3570,43,82,7570.08,29.443268763342,32.77574345317355,0.005416059011265403,0.06816308414177921,2847.752954790438,9620.505992010652,6.499270813518484,3.6183237165261133,4.2987172394479325,82.6231691078562,0.6325956925157991,1.7208338617293342
484,Georgia,Effingham County,254,50492,199,54,87,49,35,12,17,5,610,1885,72,68,2524.6,0.02416224352372653,51.89237899073121,0.013467479996831181,0.3422324328606512,2.33697219361483,15231.719876416066,16.16097599619742,18.166838311019568,0.003527687554464074,130.81359423274975,1.573001663629882,8.63994296126119
485,Arkansas,Benton County,1936,243753,126,235,699,637,275,62,28,48,19092801,96027,3762,1190,117001.44,16.31843249108729,57.04097744438017,0.005085407495839367,0.38584140502886116,1578.3187905379627,16742.963163530294,6.102488995007241,20.481747916948713,2.382491143698745,143.7925071691425,0.5939755955140381,9.74088780445779
486,Idaho,Jerome County,486,171643,353,139,103,86,75,45,38,11,190,260419,49,3903,18880.73,0.0010063170226998638,958.6027923708458,0.10335935104204128,0.03114286364986947,0.09733098243553083,281374.0570412267,124.03122125044953,1.6531670120805708,0.00014692228531418015,2416.506607530535,12.072372201710422,0.7862275452273295
487,Idaho,Gooding County,538,188353,350,128,187,68,86,28,41,24,158,318333,75,14954,45204.72,0.0003495210234683458,489.4210936380095,0.1654030818020773,0.019909425387437417,0.033805673389858404,143657.41453547328,198.48369816249277,1.0568586643164697,5.103006942637848e-05,1233.7636777752411,19.31907995448263,0.5026300350936804
489,Tennessee,Bledsoe County,614,94150,153,44,177,262,99,20,12,31,255,22900,167,864,29186.5,0.0008736916039949977,54.53034793483288,0.014801363644150549,0.06866188134925394,0.08450345193839619,16006.030185188358,17.761636372980657,3.6448015349562297,0.00012755897418326967,137.46355335514707,1.7287992736367843,1.7334264128963732
491,California,Sacramento County,1161,260212,224,479,297,175,104,37,69,46,952627,55235,420,5776,119697.52,0.7958619359866438,32.07111141483967,0.024127484011364646,0.04210613553229841,76.97576644862818,9413.67874622632,28.952980813637573,2.2351340278395075,0.11619584265404997,80.84688805582606,2.81809013252739,1.0630044799591503
492,Illinois,Union County,590,150624,255,28,153,223,124,30,32,9,177,9686,63,104,13556.16,0.001305679484455775,49.65838408516866,0.003835894530604537,0.055768005098789035,0.12628531973656257,14575.986119963176,4.6030734367254444,2.9603516039940514,0.00019062920473054317,125.18199844203669,0.44803248117461,1.4079097620565115
493,Alabama,Lowndes County,512,202907,396,38,141,110,123,53,47,46,2721698,40173,201,536,93337.22,2.9159835701127585,29.913291825061854,0.0028713090019179916,0.025841781017261922,282.03393090130606,8780.304363039739,3.4455708023015896,1.3717678756663203,0.4257336012364628,75.40731982375306,0.33536889142402143,0.6523972965982916
494,Alabama,Marengo County,471,147375,313,34,107,140,118,46,26,32,495,20006,156,67,47160.0,0.001049618320610687,29.482972858354536,0.0007103477523324851,0.03969465648854962,0.10151908396946566,8653.994910941476,0.8524173027989822,2.107124681933842,0.00015324427480916032,74.32254452926207,0.08296861747243427,1.002124681933842
495,Illinois,Whiteside County,959,370763,387,105,216,213,208,117,100,2,359,25918,123842,750,7415.26,0.004841367666137127,242.9181175036344,0.05057138927023462,200.41158368014067,0.4682570806687831,71302.58413056319,60.68566712428155,10638.514900354134,0.0007068396792560207,612.3633695918955,5.906738266763404,5059.557439658218
497,Tennessee,Tipton County,527,173346,329,51,197,170,41,23,45,6,198,5614,817,312,10400.76,0.0019037070367934651,37.51389321549579,0.014998903926251543,0.9426234236728854,0.18412654459866395,11011.272253181498,17.998684711501852,50.037593406635665,0.0002779412273718459,94.56739699791169,1.75187197858618,23.79731385014172
500,Delaware,New Castle County,361,67455,187,78,162,37,45,18,21,3,206336,1866,145,369,2023.65,10.196229585155537,64.08568675413238,0.09117189237269291,0.8598324809132013,986.1793254762434,18810.76273070936,109.40627084723148,45.64277419514244,1.4886495194327083,161.55125639315096,10.64887702913053,21.707187507721194
502,Pennsylvania,Columbia County,779,106748,137,70,271,295,108,22,13,5,323838,7770,14825,830,5337.4,6.067336156180913,101.17566605463335,0.07775321317495411,33.33083523813093,586.8327530258179,29697.605575748494,93.30385580994492,1769.3118372241167,0.8858310788024133,255.05002435642825,9.081575298834641,841.464711282647
504,Georgia,Upson County,235,31645,135,14,94,84,31,8,4,31,1890758,5103,116,125,9809.95,19.273880091131964,36.15293655930968,0.006371082421419069,0.1418967476898455,1864.1696824142834,10611.797205898092,7.645298905702883,7.532352356535966,2.8139864933052667,91.13661129771303,0.7441424268217472,3.582301642719891
507,Georgia,Dawson County,192,18950,99,27,89,53,13,10,0,27,2424575,2848,71,303,5116.5,47.387374181569434,38.685820385028826,0.029610085019055994,0.1665200820873644,4583.306830841395,11355.262386396951,35.53210202286719,8.839441024137594,6.918556630509137,97.52166520082086,3.4584579302257406,4.203938239030587
508,Georgia,Catoosa County,250,24138,97,17,105,93,30,4,1,44,609080,8073,12,117,10620.72,5.734827770621955,52.828198088265204,0.005508101145685038,0.013558402820147787,554.6725419745554,15506.406345332522,6.609721374822047,0.7197252163695116,0.8372848545108055,133.1726662599146,0.6433462138160124,0.34229317786364766
509,Oregon,Washington County,1755,104715,60,700,724,214,71,29,17,6,1420,5422,992,1381,6282.9,0.02260102818762037,59.976921485301375,0.10990147861656242,1.8946664756720624,2.1859714463066418,17604.736666189183,131.8817743398749,100.57521208359198,0.003299750115392574,151.19362078021297,12.836492702414493,47.83243406707094
510,Arkansas,Washington County,2279,316738,139,239,734,813,365,104,24,42,17547993,98673,2265,1953,133029.96,13.191008251073669,51.550594317250045,0.007340451729820862,0.2043148776410968,1275.8343180438453,15131.397468660443,8.808542075785034,10.845714754781556,1.925887204656756,129.95200178967207,0.8573647620430768,5.158099348447522
513,Oklahoma,Washington County,899,219441,244,73,287,312,133,52,42,68,194,38068,189,673,149219.88,0.00013000948667161508,17.730385522358013,0.002255061456958684,0.015199047204702215,0.012574517550878609,5204.314599368395,2.7060737483504207,0.8068160891162758,1.8981385054055803e-05,44.69587832398739,0.2633911781727743,0.38371261255537803
515,Alabama,Walker County,501,64983,130,62,188,175,50,16,10,26,2510960,11069,125,191,16895.58,14.861638369324993,45.5323522483395,0.005652365885042123,0.08878061599542601,1437.4176630811135,13364.89188296584,6.782839062050548,4.7127710324238645,2.169799201921449,114.78083617135368,0.66019633537292,2.2413406346511926
518,Georgia,Richmond County,118,13300,113,37,38,28,7,7,1,6,1980,594,130,325,798.0,0.24812030075187969,51.733082706766915,0.20363408521303258,1.9548872180451127,23.998195488721805,15184.962406015038,244.3609022556391,103.7719298245614,0.03622556390977444,130.41203007518797,23.784461152882205,49.35275689223057
519,South Carolina,Aiken County,1249,162628,130,178,535,361,117,32,26,14,4259020,9787,784,485,22767.92,18.70623227769599,29.87521477587764,0.010650950987178451,0.4132129768551541,1809.2667858987559,8769.127790329552,12.781141184614143,21.934722188061095,2.7311099125436145,75.31133278753616,1.2440310753024433,10.431905944855744
524,Alabama,Winston County,484,57132,118,25,170,216,61,7,5,36,501030,11636,20,244,20567.52,2.4360253448155147,39.31937345873494,0.005931682575244852,0.011668883754580037,235.6123713505566,11541.22616630493,7.1180190902938225,0.6194232459722903,0.35565970034306515,99.11876589885411,0.6928205247885987,0.29459069445416847
525,California,Stanislaus County,3621,722546,200,970,1394,645,360,125,127,36,6257773,429961,10433,4652,260116.56,2.4057572497498816,114.88038093383982,0.008942145013758448,0.4813073031567079,232.68484119580853,33720.28447554435,10.730574016510136,25.549396009235245,0.35124055846348273,289.5977372605574,1.0444425376069868,12.151003957610387
528,Oklahoma,Cleveland County,1182,122891,104,167,535,329,105,29,17,53,2270,20360,281,773,65132.23,0.003485217687157341,21.725342430314452,0.0059340820972965305,0.051771603705262355,0.337090254701858,6376.935044293738,7.120898516755836,2.7482092966876768,0.0005088417823249718,54.76661861569916,0.6931007889642348,1.3070172785424359
532,Colorado,Mesa County,2465,342534,139,1098,876,268,92,68,63,60,634,46952,444,18634,205520.4,0.0003084851917376572,15.877567385038176,0.04533369923375003,0.025924433778836554,0.029836687744866204,4660.465822370918,54.40043908050004,1.376155359759907,4.503883799369796e-05,40.02517706271494,5.294976070502004,0.6544839344415444
535,Illinois,Peoria County,884,250070,283,103,231,246,148,88,68,4,190,8300,12245,562,10002.8,0.0018994681489183031,57.66885272123806,0.028092134202423322,14.68988683168713,0.18371655936337827,16927.260367097213,33.71056104290799,779.7881593153917,0.0002773223497420723,145.37529491742313,3.2811612748430443,370.8584346383013
536,Alabama,Dallas County,528,263114,498,37,111,163,94,35,88,21,210,25898,200,150,55253.94,0.00038006339457421497,32.57525164721285,0.001357369266336482,0.04343581652276742,0.03675973152321807,9561.656598606362,1.6288431196037785,2.3057179270835704,5.548925560783539e-05,82.11775667038404,0.1585407303081011,1.0965733846310326
538,Idaho,Lincoln County,276,134911,489,24,66,61,48,41,36,32,210,76481,77,1175,43171.52,0.0004864317957764749,123.12351985753571,0.013608508572318047,0.021402999014164894,0.04704768328750065,36139.85331070113,16.330210286781657,1.13614253100192,7.101904218336534e-05,310.3775637271979,1.589473801246748,0.5403365459451045
539,Georgia,Greene County,248,75682,305,17,52,97,53,11,18,21,3442635,9416,14,159,15893.22,21.66102904257287,41.175545295415276,0.005002132985008702,0.010570545175867446,2095.054728997648,12086.059338510384,6.002559582010442,0.5611197730856302,3.162510240215639,103.79792137779505,0.5842491326490165,0.2668622217524202
541,Arkansas,Cleburne County,676,129466,192,10,173,278,169,34,12,40,1714030,26402,134,252,51786.4,3.3098072080700724,35.43283564796935,0.0024330712310568024,0.03105062332967729,320.1245531645374,10400.42945638237,2.919685477268163,1.648270588417036,0.4832318523782306,89.32133533128388,0.28418271978743453,0.7838988614771446
545,Georgia,Grady County,415,123713,298,32,92,149,80,24,38,6,1389442,11611,92,18,7422.78,18.718620247400573,108.71459210700034,0.0012124837325099222,0.14873133785455045,1810.4649503285832,31910.470201191467,1.4549804790119067,7.895155184445719,2.7329185561204836,274.054626433762,0.14161809995715893,3.754846566919672
547,Arkansas,Clay County,542,286482,529,13,134,205,72,33,85,4,1598214,6693,105,413,11459.28,13.94689718725784,40.592733574884285,0.018020329374969456,0.1099545521184577,1348.9438959515783,11914.989423419272,21.624395249963346,5.836754141621463,2.036246989339644,102.32873269524785,2.1047744709964324,2.7758942970238962
548,Arkansas,Boone County,1313,305922,233,88,345,438,287,98,57,57,2065589,80388,1728,991,174375.54,1.1845635001331036,32.03984916691871,0.0028415682612366387,0.11891576077699888,114.57098173287378,9404.502489282613,3.4098819134839666,6.3124449679123575,0.17294627101943313,80.7680802020742,0.3318951729124394,3.0021274772826505
549,Idaho,Payette County,640,162622,254,213,237,94,46,30,20,61,214,57364,212,893,99199.42,0.00021572706775906556,40.18973094802369,0.004501034381047792,0.02564531123266648,0.020865121993656817,11796.698004887528,5.401241257257351,1.3613386046007123,3.1496151892823566e-05,101.3128181596223,0.5257208157063822,0.6474372531613591
551,Georgia,Franklin County,753,78774,105,45,314,274,107,10,3,44,15831135,21323,199,324,34660.56,45.67478136533282,42.756046065037616,0.00467390024858225,0.06889675181243465,4417.66485365499,12549.976111176507,5.608680298298701,3.657269242043406,6.668518079338591,107.78214777833941,0.545911549034407,1.7393559134647565
555,Alabama,Dale County,469,137007,292,19,111,174,97,37,31,12,8448640,13205,15,325,16440.84,51.38812858710382,55.821204999257944,0.00988392320587026,0.01094834570496398,4970.2597969446815,16384.92923719226,11.860707847044312,0.5811746845051713,7.5026667737171575,140.7176275664747,1.1544422304456463,0.27640011094323647
556,Illinois,Ogle County,1011,354587,351,161,274,203,169,95,109,2,618,26463,95495,807,7091.74,0.00871436347074202,259.3409374850178,0.056897178971592306,161.58798827932213,0.8428532348901681,76123.09531934335,68.27661476591076,8577.629044494017,0.0012722970667283348,653.7630539190664,6.645590503881982,4079.4234207683867
558,Oklahoma,Carter County,1431,396475,277,89,404,476,302,80,80,67,546,57384,468,1157,265638.25,0.00020554268822355214,15.013605909540512,0.0021777737204638262,0.021141533645851078,0.019880088804981964,4406.871374886711,2.6133284645565915,1.1222630777005946,3.0009232480638615e-05,37.84724827843882,0.2543639705501749,0.5337356348342154
559,Florida,Gadsden County,522,66243,127,68,214,131,81,21,7,16,82,6184,157,351,10598.88,0.0007736666515707322,40.550322298205096,0.016558353335446765,0.17775463067795844,0.0748290385399212,11902.540645804085,19.87002400253612,9.435808311821628,0.00011295533112932688,102.22181966396448,1.9340156695801825,4.487563780323959
561,Colorado,Grand County,290,240980,831,22,117,58,42,13,38,73,30,17031,15,111,175915.4,1.7053651925868914e-05,6.728543947829468,0.0003154925606285749,0.0010232191155521348,0.0016494292142700414,1974.9970724564193,0.3785910727542899,0.054315881383892484,2.4898331811768616e-06,16.96173956344925,0.03684953108141755,0.025832019254709935
562,Oklahoma,Comanche County,1055,467180,443,82,241,329,165,99,139,61,195,77290,680,1218,284979.8,6.842590246747313e-05,18.849248262508432,0.0021369935693687763,0.02863360841715799,0.006618153286654002,5532.728986405353,2.564392283242532,1.5199673801441367,9.990181760251077e-06,47.5163783538342,0.24960084890227308,0.7228793058315011
563,Florida,Broward County,640,6738,11,558,64,12,3,2,1,29,683,1107,66,860,1954.02,0.034953582870185566,39.37344551232843,0.22005916009048013,0.40531826695734946,3.3807105352043485,11557.097675561152,264.07099210857615,21.515644670985967,0.005103223099047093,99.2550741548193,25.70290989856808,10.23259741456075
564,Alabama,Lawrence County,1252,213747,171,103,479,468,136,36,30,26,7882206,31187,662,523,55574.22,14.183205810176014,39.00183394386822,0.004705419167376528,0.14294397654164107,1371.7996659602243,11448.020323092254,5.646503000851833,7.587942754752113,2.070748048285698,98.318292186557,0.5495929587495785,3.6087398077741795
569,Colorado,Pueblo County,839,895508,1067,163,187,207,105,58,119,90,320,37418,9169,1738,805957.2,3.9704341620125734e-05,3.2266614157674876,0.0010782210271215395,0.13651841561809983,0.003840203921498561,947.1063723979388,1.2938652325458475,7.246852562394133,5.796833876538358e-06,8.133972374711709,0.1259362159677958,3.4465211676252783
571,Alabama,Tuscaloosa County,557,94944,170,71,173,174,100,22,17,22,1460287,10342,34,389,20887.68,6.991140231945338,34.411145708858044,0.009311709103165118,0.019533045316665134,676.1830832337531,10100.537733247542,11.174050923798143,1.0368791555596408,1.0207064738640195,86.74579465024358,1.087607623249686,0.4931280065569752
572,Alabama,Wilcox County,318,165278,520,31,51,89,47,37,63,22,80,16636,122,110,36361.16,0.00022001498302034366,31.79772042476092,0.0015126030082648627,0.04026274189272289,0.02127984915772764,9333.431606692415,1.8151236099178352,2.1372805488053737,3.212218752097018e-05,80.15770673982897,0.176672031365336,1.0164664713666998
